term,reading,english,description,category
収入,しゅうにゅう,,個人や団体が事業をすることなどにより得た金品。,会計
収益,しゅうえき,revenues; turnover,ある一定期間の、企業の経営活動などによって、その企業に帰属することとなった経済的価値。企業から離脱した費用との比較によって、損益が計算される。,会計
取引所,とりひきじょ,,有価証券や一定の商品について一定の資格を有する者が売買、先物の取引などを行う場所。,経済
古本屋,ふるほんや,,古本を売買する商人。また、その店舗。,店舗
古道具屋,ふるどうぐや,,古道具を売買する商人。また、その店舗。,店舗
古銭学,こせんがく,,古銭について研究する学問。貨幣学。,通貨
合成の誤謬,ごうせいのごびゅう,fallacy of composition,個人や会社などの各個体が自身にとっては正しく合理的な行動を取った結果として、社会全体や集団全体には意図しない結果や望ましくない結果が生じること。,経済
同盟罷業,どうめいひぎょう,,ストライキ。複数の労働者が共同で、経営者に対して労働条件の改善などを求めて労務の提供を拒否すること。日本においては労働組合が主体となる場合のみ違法とされない。,労働
名目国内総生産,めいもくこくないそうせいさん,,物価の変動を補正しない国内総生産。,経済
名目経済成長率,めいもくけいざいせいちょうりつ,,物価の変動を補正しない経済成長率。,経済
呉服屋,ごふくや,,呉服を作って売る店。,店舗
和菓子屋,わがしや,,和菓子を作って売る店。,店舗
和菓子店,わがしてん,,和菓子を販売する店。,店舗
和食屋,わしょくや,,和食を作って客に提供する店、人。,飲食店
唐銭,とうせん,,平安時代から江戸時代初期にかけて中国から伝わった貨幣（銭）の総称。,通貨
商事,しょうじ; しょーじ,business; affairs,商取引に関する事柄。,ビジネス
商品有高帳,,,商品の種別毎に仕入や売上の都度、数量、単価、金額を記録して商品の増減や在庫を管理する帳簿。補助簿の一種。売上商品1個あたりの仕入原価である払出原価には、先入先出法や移動平均法などがあり、それに応じて記入方法が異なる。,会計; 簿記
喫茶店,きっさてん,café; kissaten,店内で紅茶やコーヒーなどのアルコールを含まない飲み物や、茶菓や軽食などを提供する飲食店。カフェ。,飲食店
営利会計,えいりかいけい,,営利を目的とする組織体が計算主体となる会計。通常は企業会計が同義に用いられる。,会計
団体信用生命保険,だんたいしんようせいめいほけん,,主に住宅ローンなどを利用し多額の債務を有する人が、返済中に死亡したり高度障害を負うなどした場合、保険金を残った債務の返済に充てる目的の保険。団信。,保険
団信,だんしん,,「団体信用生命保険」の略。,保険
団子屋,だんごや,,団子を作って売る店。,店舗
固定相場制,こていそうばせい,,ある通貨と別の通貨の為替レートを固定する制度。,相場
国保,こくほ,,国民健康保険。,保険
