term,reading,english,description,category
張力,ちょうりょく,,物体の断面の両側で垂直に引き合うような力。,力学
強磁性,きょうじせい; きょーじせー,ferromagnetism,スピンが同じ方向を向いていて、大きな磁気モーメントを持つ性質。,電磁気学
強磁性体,きょうじせいたい; きょーじせーたい,ferromagnet,強磁性を示す物質。,電磁気学
弾性,だんせい; だんせー,elasticity,物体に力を加えたときのひずみが、力を取り去ると元に戻ろうとする性質。,物理学
弾性力,だんせいりょく,,ばね等が伸びた際に元に戻ろうとする力。,力学
従法線ベクトル,,,曲線 C=boldsymbol p(t)∣t∈ℝに就いて、単位接線ベクトル boldsymbol tと主法線ベクトル boldsymbol nから定まるベクトル boldsymbol b:= boldsymbol t× boldsymbol nのこと。,ベクトル解析
応力,おうりょく,stress,外から物体が力を受けるとき、物体内部で外からの力に抵抗して起こる単位面積当たりの力。記号としては σ でよく表される。建築業界では応力度と呼ぶ。,力学
応力度,おうりょくど,,応力のこと。主に建築業界で使用される表現。,力学
応用物理学,おうようぶつりがく,,物理学を主に工学などの諸分野に応用するため研究する学問。,物理学
思考実験,しこうじっけん,,実際に器具を使うのではなく、理論などを元に机上で考えることによって行う実験。,物理学
惰性,だせい; だせー,,慣性。,力学
感応,かんのう; かんおう; かんのー; かんおー,,誘導。,物理学
慣性,かんせい; かんせー,inertia,物体が外力を受けない限りもとの運動状態を保とうとする性質。惰性。,力学
慣性の法則,かんせいのほうそく,,静止系において物体は外力が加わらない限り、静止しているか等速度運動を行うという力学の基本的な法則。,力学
慣性モーメント,,,回転運動における慣性の大きさを表す物理量。,力学
慣性質量,かんせいしつりょう,,物体の動かしにくさとして定義される質量。,力学
戸田格子,とだこうし; とだこーし,,n個の質点が指数ポテンシャルによって相互作用している系。,解析力学
抗力,こうりょく; こーりょく,drag,流体中を運動する、または流れの中にある物体に働く抵抗。,力学
抵抗,ていこう; てーこー,,電気抵抗。,物理学
振動,しんどう; しんどー,,位置や物理量がある範囲で周期的に変動すること。,物理学
振幅,しんぷく,amplitude,振動の幅の半分。振動の中心から振動の最大変位までの幅。,物理学
捩れ率,ねじれりつ,,捩率。,ベクトル解析
捩率,れいりつ; れーりつ,,曲線 C=boldsymbol p(t)∣t∈ℝの主法線ベクトルを boldsymbol n、従法線ベクトルを boldsymbol bとしたとき、τ= boldsymbol e_b·(d boldsymbol eₙ)/(dt)で定義される値。捩れ率。,ベクトル解析
換算質量,かんさんしつりょう; かんさんしつりょー,reduced mass,二体問題で、各物体の質量の調和平均の半値。二体問題を一体問題に帰着する際に用いる。; 物理量xの各値x_iに対し、1/(x_r)=∑ᵢ 1/(x_i)という変換によって得るx_rのこと。並列接続の合成抵抗や直列接続の合成容量など。,力学; 物理学
揮発,きはつ,volatilization; volatilize,常温・常圧の元で、液体が気体になること。,物理学
摩擦,まさつ,friction,接触している物体の一方が運動しようとするとき、その接触面に働く運動を阻止する方向へ力が働く現象。,力学
支点,してん,,梃子、天秤などを支えるために固定された点。,力学
放射,ほうしゃ; ほーしゃ,,電磁波や粒子線、重力波などを放出すること。あるいは、放出されたもの（＝放射線）。,物理学
放射性,ほうしゃせい; ほーしゃせー,,物質が放射能を持つ性質。,物理学
放射性物質,ほうしゃせいぶっしつ; ほーしゃせーぶっしつ,,放射能を持つ物質。,物理学
