term,reading,english,description,category
比例代表制,ひれいだいひょうせい; ひれーだいひょーせー,proportional representation,当選者を政党の得票数に応じて、割り振る選挙制度。,選挙
比例復活,ひれいふっかつ,,衆議院選挙で小選挙区で落選した候補者が比例代表で当選すること。,選挙
民主化,みんしゅか,democratization; democratisation,組織の体制などが、民主的になること。ひとりが強い権限を持つ体制から、多くの人が平等に権限を持てるようにすること。,政治
民政,みんせい; みんせー,,民間人によっておこなわれる政治。文民政権（政府、政治）の略。,政治
水路,すいろ,watercourse; lane; swim lane; by; water,交通の経路で船舶を利用するもの。副詞的にも用いる。,地政学
永世中立国,えいせいちゅうりつこく,,いかなる紛争にも与しないことを宣言した国家。,政治
決選,けっせん,,上位の得票者から更に選び出すこと。,選挙
沿岸国,えんがんこく,,国土が海域、水域と接している国家。,地政学
法政,ほうせい; ほーせー,,法律と政治。,政治
洋上投票,ようじょうとうひょう,,不在者投票の一種で投票日に乗船中であるため投票できない者に対して行われる。,選挙
浮動票,ふどうひょう,swing vote; floating vote,選挙の際に、支持する候補者や政党がない人達の票。,選挙
海外領土,かいがいりょうど,,その国の領土の一部ではあるが、一定の自治権を有し、本国とは一線を画している地域。,政治
海峡,かいきょう; かいきょー,strait; channel,陸地に挟まれた、二つの海域をつなぐ細長い海。,地政学
海洋国家,かいようこっか,,領域の全部又は大半を海洋が占める国家。,地政学
海路,かいろ; うみじ; うなじ,,海を通る交通路。副詞的にも用いる。,地政学
海軍国,かいぐんこく,,強力な海軍を持っている国。シーパワー。,地政学
海陸,かいりく,sea; and; land; Navy; Army,海と陸。,地政学
準内陸国,じゅんないりくこく,,国境の大半が陸上国境であり、海に面する部分がきわめて少ない国家。なお、海上国境の割合に関して国際機関などで公式に定められた定義があるわけではない。,地政学
激戦州,げきせんしゅう,,大統領選挙で民主党と共和党の得票が拮抗している州。,政治
無主地,むしゅち,,どの国も領有権を主張していない土地。,政治
無主地先占,むしゅちせんせん,,無主地に対して最初に実効支配を及ぼすことで自国の領土とすること。,政治
特例郵便等投票,とくれいゆうびんとうひょう,,不在者投票の一種でCOVID-19罹患により隔離中の者に対し郵送での投票を認めたもの。同感染症の五類感染症への移行により廃止。,選挙
特別会,とくべつかい,,衆議院の解散・総選挙後に召集される国会。,政治
特別地方公共団体,とくべつちほうこうきょうだんたい,,地方公共団体のうち都道府県、市町村以外の団体。特別区などを指す。,政治
特別行政区,とくべつぎょうせいく,,中華人民共和国に返還された植民地で、特別の自治権が付与される区域。,政治
独裁,どくさい,,「独裁制」「独裁政治」のこと。特定の個人・集団が、特定の目的を達成するために、牽制を排除して権力を握り支配すること。,政治
独裁制,どくさいせい,,一人または少数、もしくは一つの政党が民主主義に基づかない方法で主権の全てを掌握し、異論を唱える者を弾圧する政治の体制。,政治
独裁政治,どくさいせいじ,,特定の個人や少数者、党派が権力を集中させ、専断的に政治を行う体制。,政治
王,おおきみ; オウ,king,一国の君主。,元首
王道,おうどう; おーどー,rule; benevolence; orthodox; way,仁徳による支配。儒教では、王が仁徳によって治める理想的な政治。,政治
町政,ちょうせい; ちょーせー,,町の政治、行政。,政治
町村議会,ちょうそんぎかい,,地方議会のうち町村の住民から選出された議員で構成される議決機関。,政治
町議会,ちょうぎかい,,地方公共団体の町における議決機関。,政治
町長,ちょうちょう; ちょーちょー,town mayor,地方公共団体の町の首長。,政治
白票,はくひょう,,用紙に何も書かず、白紙のままで行われた投票。,選挙
皇族議員,こうぞくぎいん,,戦前の貴族院で成人した男子皇族が自動的に就任した議員。,政治
直接選挙,ちょくせつせんきょ,,有権者が候補を直接選ぶ選挙の制度。,政治
省,ショウ; セイ,,（ショウ）内閣制度における行政機関で内閣下にあっては最上位層に属するもの。,政治
県政,けんせい; けんせー,,県の政治、行政。,政治
県議会,けんぎかい,,地方公共団体の県における議決機関。,政治
社会党,しゃかいとう,,社会主義または社会民主主義の実現を目標とした政党。,政治
社会民主主義,しゃかいみんしゅしゅぎ,,議会での民主主義的な話し合いを経て社会主義の理想とする格差の縮小、福祉の充実などを実現しようとする思想。社民主義。,政治
社民主義,しゃみんしゅぎ,,社会民主主義の略。,政治
票,ヒョウ,,(ひょう) 選挙などで投票する紙片。また、それを集計した数。,選挙
福祉国家,ふくしこっか,,国が格差の解消、生活の安定など国民の福祉を増進していこうという政策をとる国家。,政治
科学技術庁,かがくぎじゅつちょう,,科学技術についての行政を担当するために、1956年総理府の外局として設置された行政機関で、2001年文部省と統合され、文部科学省となる。,政治
秘密投票,ひみつとうひょう,,投票者の氏名を記さずに行う投票。,選挙
空中戦,くうちゅうせん,,選挙において知名度を生かし、街頭で名前を連呼して浮動票を獲得する戦術の一つ。,選挙
空路,くうろ,,航空機が飛ぶルート、コース。; 航空機を使用して行くこと。副詞的にも用いられる。,地政学
空軍国,くうぐんこく,,強力な空軍を持っている国。エアパワー。,地政学
立候補,りっこうほ; りっこーほ,candidacy; candidature,候補者として届け出ること。,政治
立憲君主制,りっけんくんしゅせい; りっけんくんしゅせー,,憲法に基づいて君主が政治を行う国家形成。,政治
立法府,りっぽうふ; りっぽーふ,,国家や地方で立法を行う機関、議会。日本では国会や地方議会。,政治
立法権,りっぽうけん; りっぽーけん,,法律を制定する権力。日本においては原則国会に帰属する。,政治
第一世界,だいいちせかい,,冷戦期の資本主義国。,政治
第三世界,だいさんせかい,,冷戦期の資本主義と社会主義のどちらにも属さない発展途上国。,政治
第二世界,だいにせかい,,冷戦期の社会主義国。,政治
第四世界,だいよんせかい,,発展途上国の中でも特に貧しい国々,政治
納税,のうぜい; のーぜー,,個人もしくは法人が国や地方自治体に税金を納付する行為。,政治
細胞,さいぼう; さいぼー,cell,主に共産主義政党などが自らの末端組織を指して使う言葉。,政治
経済史,けいざいし,,経済活動とそれに関する法制、社会、地理などについて歴史的に研究する学問。,政治
絶対主義,せったいしゅぎ,absolutism; absolute monarchy; suprematism,典型的には無制限の統治権を当然に行使することができる権利に基づいた絶対的な政府の理論または実践。,政治
緊急集会,きんきゅうしゅうかい,,衆議院の解散中に非常事態が発生したときに参議院のみで開かれる臨時の集会。,政治
総理,そうり; そーり,prime minister,内閣総理大臣。; 中国、韓国などにおける官職の一つ。首相に相当。,元首; 政治
総理府,そうりふ,,各省庁の調整、栄典などを担当するため、1947年総理庁として設置、1949年総理府と改称された行政機関。2001年内閣府に改組。,政治
総統,そうとう; そーとー,Leader; Supreme Sovereignty Responsible Person,中華民国、台湾における元首の呼称。中国語においてpresidentの訳語である總統（总统）に常用漢字をあてたもの。,元首
総選挙,そうせんきょ,,衆議院の解散または議員の任期満了に伴って行われる衆議院議員の選挙。,選挙
緩衝国,かんしょうこく,,大国同士の対立を防止するために存在する国家。,地政学
